Element(s);Structure;Property;Value;Temp;Reference
Sc,Ag;l12;a;4.15594;0;file=L12/Ag3Sc/Ag3Sc-L1_2.dat date=2013-02-19
Sc,Ag;l12;B;100.77000;0;file=L12/Ag3Sc/Ag3Sc-L1_2.dat date=2013-02-19
Sc,Ag;l12;Eheat;-0.11323;0;file=L12/Ag3Sc/Ag3Sc-L1_2.dat date=2013-02-19
Ti,Ag;l12;a;4.07216;0;file=L12/Ag3Ti/Ag3Ti-L1_2.dat date=2013-02-18
Ti,Ag;l12;B;118.41000;0;file=L12/Ag3Ti/Ag3Ti-L1_2.dat date=2013-02-18
Ti,Ag;l12;Eheat;0.21101;0;file=L12/Ag3Ti/Ag3Ti-L1_2.dat date=2013-02-18
Y,Ag;l12;a;4.30786;0;file=L12/Ag3Y/Ag3Y-L1_2.dat date=2013-02-19
Y,Ag;l12;B;85.61000;0;file=L12/Ag3Y/Ag3Y-L1_2.dat date=2013-02-19
Y,Ag;l12;Eheat;-0.11122;0;file=L12/Ag3Y/Ag3Y-L1_2.dat date=2013-02-19
Zn,Ag;l12;a;3.99834;0;file=L12/Ag3Zn/Ag3Zn-L1_2.dat date=2013-02-19
Zn,Ag;l12;B;117.47000;0;file=L12/Ag3Zn/Ag3Zn-L1_2.dat date=2013-02-19
Zn,Ag;l12;Eheat;-0.04210;0;file=L12/Ag3Zn/Ag3Zn-L1_2.dat date=2013-02-19
Zr,Ag;l12;a;4.19041;0;file=L12/Ag3Zr/Ag3Zr-L1_2.dat date=2013-02-17
Zr,Ag;l12;B;123.05000;0;file=L12/Ag3Zr/Ag3Zr-L1_2.dat date=2013-02-17
Zr,Ag;l12;Eheat;0.15881;0;file=L12/Ag3Zr/Ag3Zr-L1_2.dat date=2013-02-17
Ag,Al;l12;a;4.04081;0;file=L12/Al3Ag/Al3Ag-L1_2.dat date=2013-02-19
Ag,Al;l12;B;91.18000;0;file=L12/Al3Ag/Al3Ag-L1_2.dat date=2013-02-19
Ag,Al;l12;Eheat;-0.00213;0;file=L12/Al3Ag/Al3Ag-L1_2.dat date=2013-02-19
Au,Al;l12;a;4.02180;0;file=L12/Al3Au/Al3Au-L1_2.dat date=2013-02-19
Au,Al;l12;B;103.23000;0;file=L12/Al3Au/Al3Au-L1_2.dat date=2013-02-19
Au,Al;l12;Eheat;-0.17087;0;file=L12/Al3Au/Al3Au-L1_2.dat date=2013-02-19
Ca,Al;l12;a;4.26917;0;file=L12/Al3Ca/Al3Ca-L1_2.dat date=2013-02-19
Ca,Al;l12;B;61.37000;0;file=L12/Al3Ca/Al3Ca-L1_2.dat date=2013-02-19
Ca,Al;l12;Eheat;-0.19122;0;file=L12/Al3Ca/Al3Ca-L1_2.dat date=2013-02-19
Cd,Al;l12;a;4.14521;0;file=L12/Al3Cd/Al3Cd-L1_2.dat date=2013-02-19
Cd,Al;l12;B;71.18000;0;file=L12/Al3Cd/Al3Cd-L1_2.dat date=2013-02-19
Cd,Al;l12;Eheat;0.09835;0;file=L12/Al3Cd/Al3Cd-L1_2.dat date=2013-02-19
Co,Al;l12;a;3.76805;0;file=L12/Al3Co/Al3Co-L1_2.dat date=2013-02-18
Co,Al;l12;B;134.82000;0;file=L12/Al3Co/Al3Co-L1_2.dat date=2013-02-18
Co,Al;l12;Eheat;-0.28080;0;file=L12/Al3Co/Al3Co-L1_2.dat date=2013-02-18
Cu,Al;l12;a;3.90096;0;file=L12/Al3Cu/Al3Cu-L1_2.dat date=2013-02-19
Cu,Al;l12;B;99.13000;0;file=L12/Al3Cu/Al3Cu-L1_2.dat date=2013-02-19
Cu,Al;l12;Eheat;-0.07066;0;file=L12/Al3Cu/Al3Cu-L1_2.dat date=2013-02-19
Hf,Al;l12;a;4.06317;0;file=L12/Al3Hf/Al3Hf-L1_2.dat date=2013-02-19
