Element(s);Structure;Property;Value;Temp;Reference
Zn,Ca;l12;Eheat;0.02318;0;file=L12/Ca3Zn/Ca3Zn-L1_2.dat date=2013-02-19
Zr,Ca;l12;a;5.09336;0;file=L12/Ca3Zr/Ca3Zr-L1_2.dat date=2013-02-18
Zr,Ca;l12;B;26.85000;0;file=L12/Ca3Zr/Ca3Zr-L1_2.dat date=2013-02-18
Zr,Ca;l12;Eheat;0.45170;0;file=L12/Ca3Zr/Ca3Zr-L1_2.dat date=2013-02-18
Ag,Cd;l12;a;4.23587;0;file=L12/Cd3Ag/Cd3Ag-L1_2.dat date=2013-02-19
Ag,Cd;l12;B;78.62000;0;file=L12/Cd3Ag/Cd3Ag-L1_2.dat date=2013-02-19
Ag,Cd;l12;Eheat;-0.04776;0;file=L12/Cd3Ag/Cd3Ag-L1_2.dat date=2013-02-19
Al,Cd;l12;a;4.31194;0;file=L12/Cd3Al/Cd3Al-L1_2.dat date=2013-02-19
Al,Cd;l12;B;63.98000;0;file=L12/Cd3Al/Cd3Al-L1_2.dat date=2013-02-19
Al,Cd;l12;Eheat;0.06782;0;file=L12/Cd3Al/Cd3Al-L1_2.dat date=2013-02-19
Au,Cd;l12;a;4.23690;0;file=L12/Cd3Au/Cd3Au-L1_2.dat date=2013-02-19
Au,Cd;l12;B;90.98000;0;file=L12/Cd3Au/Cd3Au-L1_2.dat date=2013-02-19
Au,Cd;l12;Eheat;-0.13788;0;file=L12/Cd3Au/Cd3Au-L1_2.dat date=2013-02-19
Ca,Cd;l12;a;4.55296;0;file=L12/Cd3Ca/Cd3Ca-L1_2.dat date=2013-02-19
Ca,Cd;l12;B;44.86000;0;file=L12/Cd3Ca/Cd3Ca-L1_2.dat date=2013-02-19
Ca,Cd;l12;Eheat;-0.23681;0;file=L12/Cd3Ca/Cd3Ca-L1_2.dat date=2013-02-19
Co,Cd;l12;a;4.06221;0;file=L12/Cd3Co/Cd3Co-L1_2.dat date=2013-02-19
Co,Cd;l12;B;107.90000;0;file=L12/Cd3Co/Cd3Co-L1_2.dat date=2013-02-19
Co,Cd;l12;Eheat;0.15097;0;file=L12/Cd3Co/Cd3Co-L1_2.dat date=2013-02-19
Cu,Cd;l12;a;4.13576;0;file=L12/Cd3Cu/Cd3Cu-L1_2.dat date=2013-02-19
Cu,Cd;l12;B;84.10000;0;file=L12/Cd3Cu/Cd3Cu-L1_2.dat date=2013-02-19
Cu,Cd;l12;Eheat;0.03887;0;file=L12/Cd3Cu/Cd3Cu-L1_2.dat date=2013-02-19
Hf,Cd;l12;a;4.31069;0;file=L12/Cd3Hf/Cd3Hf-L1_2.dat date=2013-02-19
Hf,Cd;l12;B;95.90000;0;file=L12/Cd3Hf/Cd3Hf-L1_2.dat date=2013-02-19
Hf,Cd;l12;Eheat;-0.06012;0;file=L12/Cd3Hf/Cd3Hf-L1_2.dat date=2013-02-19
Ir,Cd;l12;a;4.11931;0;file=L12/Cd3Ir/Cd3Ir-L1_2.dat date=2013-02-19
Ir,Cd;l12;B;131.67000;0;file=L12/Cd3Ir/Cd3Ir-L1_2.dat date=2013-02-19
Ir,Cd;l12;Eheat;0.03552;0;file=L12/Cd3Ir/Cd3Ir-L1_2.dat date=2013-02-19
La,Cd;l12;a;4.68030;0;file=L12/Cd3La/Cd3La-L1_2.dat date=2013-02-19
La,Cd;l12;B;52.84000;0;file=L12/Cd3La/Cd3La-L1_2.dat date=2013-02-19
La,Cd;l12;Eheat;-0.23149;0;file=L12/Cd3La/Cd3La-L1_2.dat date=2013-02-19
Mg,Cd;l12;a;4.34898;0;file=L12/Cd3Mg/Cd3Mg-L1_2.dat date=2013-02-19
Mg,Cd;l12;B;56.34000;0;file=L12/Cd3Mg/Cd3Mg-L1_2.dat date=2013-02-19
Mg,Cd;l12;Eheat;-0.08413;0;file=L12/Cd3Mg/Cd3Mg-L1_2.dat date=2013-02-19
Ni,Cd;l12;a;4.08027;0;file=L12/Cd3Ni/Cd3Ni-L1_2.dat date=2013-02-19
Ni,Cd;l12;B;102.09000;0;file=L12/Cd3Ni/Cd3Ni-L1_2.dat date=2013-02-19
Ni,Cd;l12;Eheat;0.01333;0;file=L12/Cd3Ni/Cd3Ni-L1_2.dat date=2013-02-19
Pb,Cd;l12;a;4.54825;0;file=L12/Cd3Pb/Cd3Pb-L1_2.dat date=2013-02-19
Pb,Cd;l12;B;53.29000;0;file=L12/Cd3Pb/Cd3Pb-L1_2.dat date=2013-02-19
Pb,Cd;l12;Eheat;0.06067;0;file=L12/Cd3Pb/Cd3Pb-L1_2.dat date=2013-02-19
Pd,Cd;l12;a;4.15527;0;file=L12/Cd3Pd/Cd3Pd-L1_2.dat date=2013-02-19
Pd,Cd;l12;B;104.74000;0;file=L12/Cd3Pd/Cd3Pd-L1_2.dat date=2013-02-19
Pd,Cd;l12;Eheat;-0.27047;0;file=L12/Cd3Pd/Cd3Pd-L1_2.dat date=2013-02-19
Pt,Cd;l12;a;4.15602;0;file=L12/Cd3Pt/Cd3Pt-L1_2.dat date=2013-02-19
Pt,Cd;l12;B;117.91000;0;file=L12/Cd3Pt/Cd3Pt-L1_2.dat date=2013-02-19
Pt,Cd;l12;Eheat;-0.23457;0;file=L12/Cd3Pt/Cd3Pt-L1_2.dat date=2013-02-19
Rh,Cd;l12;a;4.11949;0;file=L12/Cd3Rh/Cd3Rh-L1_2.dat date=2013-02-19
Rh,Cd;l12;B;117.76000;0;file=L12/Cd3Rh/Cd3Rh-L1_2.dat date=2013-02-19
Rh,Cd;l12;Eheat;-0.15125;0;file=L12/Cd3Rh/Cd3Rh-L1_2.dat date=2013-02-19
Ru,Cd;l12;a;4.10755;0;file=L12/Cd3Ru/Cd3Ru-L1_2.dat date=2013-02-19
Ru,Cd;l12;B;126.08000;0;file=L12/Cd3Ru/Cd3Ru-L1_2.dat date=2013-02-19
Ru,Cd;l12;Eheat;0.11700;0;file=L12/Cd3Ru/Cd3Ru-L1_2.dat date=2013-02-19
Sc,Cd;l12;a;4.34715;0;file=L12/Cd3Sc/Cd3Sc-L1_2.dat date=2013-02-19
Sc,Cd;l12;B;72.98000;0;file=L12/Cd3Sc/Cd3Sc-L1_2.dat date=2013-02-19
Sc,Cd;l12;Eheat;-0.25753;0;file=L12/Cd3Sc/Cd3Sc-L1_2.dat date=2013-02-19
Ti,Cd;l12;a;4.22671;0;file=L12/Cd3Ti/Cd3Ti-L1_2.dat date=2013-02-19
Ti,Cd;l12;B;92.16000;0;file=L12/Cd3Ti/Cd3Ti-L1_2.dat date=2013-02-19
Ti,Cd;l12;Eheat;-0.06137;0;file=L12/Cd3Ti/Cd3Ti-L1_2.dat date=2013-02-19
Y,Cd;l12;a;4.49427;0;file=L12/Cd3Y/Cd3Y-L1_2.dat date=2013-02-19
Y,Cd;l12;B;64.74000;0;file=L12/Cd3Y/Cd3Y-L1_2.dat date=2013-02-19
Y,Cd;l12;Eheat;-0.29602;0;file=L12/Cd3Y/Cd3Y-L1_2.dat date=2013-02-19
Zn,Cd;l12;a;4.25310;0;file=L12/Cd3Zn/Cd3Zn-L1_2.dat date=2013-02-19
Zn,Cd;l12;B;64.49000;0;file=L12/Cd3Zn/Cd3Zn-L1_2.dat date=2013-02-19
Zn,Cd;l12;Eheat;0.05605;0;file=L12/Cd3Zn/Cd3Zn-L1_2.dat date=2013-02-19
Zr,Cd;l12;a;4.33143;0;file=L12/Cd3Zr/Cd3Zr-L1_2.dat date=2013-02-19
Zr,Cd;l12;B;92.16000;0;file=L12/Cd3Zr/Cd3Zr-L1_2.dat date=2013-02-19
Zr,Cd;l12;Eheat;-0.17366;0;file=L12/Cd3Zr/Cd3Zr-L1_2.dat date=2013-02-19
Ag,Co;l12;a;3.59648;0;file=L12/Co3Ag/Co3Ag-L1_2.dat date=2013-02-18
Ag,Co;l12;B;224.32000;0;file=L12/Co3Ag/Co3Ag-L1_2.dat date=2013-02-18
Ag,Co;l12;Eheat;0.41111;0;file=L12/Co3Ag/Co3Ag-L1_2.dat date=2013-02-18
Al,Co;l12;a;3.50205;0;file=L12/Co3Al/Co3Al-L1_2.dat date=2013-02-19
Al,Co;l12;B;237.92000;0;file=L12/Co3Al/Co3Al-L1_2.dat date=2013-02-19
Al,Co;l12;Eheat;-0.31803;0;file=L12/Co3Al/Co3Al-L1_2.dat date=2013-02-19
Au,Co;l12;a;3.61912;0;file=L12/Co3Au/Co3Au-L1_2.dat date=2013-02-18
Au,Co;l12;B;246.15000;0;file=L12/Co3Au/Co3Au-L1_2.dat date=2013-02-18
Au,Co;l12;Eheat;0.24165;0;file=L12/Co3Au/Co3Au-L1_2.dat date=2013-02-18
Ca,Co;l12;a;3.74243;0;file=L12/Co3Ca/Co3Ca-L1_2.dat date=2013-02-19
Ca,Co;l12;B;130.63000;0;file=L12/Co3Ca/Co3Ca-L1_2.dat date=2013-02-19
Ca,Co;l12;Eheat;0.56709;0;file=L12/Co3Ca/Co3Ca-L1_2.dat date=2013-02-19
Cd,Co;l12;a;3.63743;0;file=L12/Co3Cd/Co3Cd-L1_2.dat date=2013-02-19
Cd,Co;l12;B;204.90000;0;file=L12/Co3Cd/Co3Cd-L1_2.dat date=2013-02-19
Cd,Co;l12;Eheat;0.32405;0;file=L12/Co3Cd/Co3Cd-L1_2.dat date=2013-02-19
Cu,Co;l12;a;3.46146;0;file=L12/Co3Cu/Co3Cu-L1_2.dat date=2013-02-18
Cu,Co;l12;B;250.76000;0;file=L12/Co3Cu/Co3Cu-L1_2.dat date=2013-02-18
Cu,Co;l12;Eheat;0.12864;0;file=L12/Co3Cu/Co3Cu-L1_2.dat date=2013-02-18
Hf,Co;l12;a;3.65852;0;file=L12/Co3Hf/Co3Hf-L1_2.dat date=2013-02-19
Hf,Co;l12;B;222.79000;0;file=L12/Co3Hf/Co3Hf-L1_2.dat date=2013-02-19
Hf,Co;l12;Eheat;-0.37561;0;file=L12/Co3Hf/Co3Hf-L1_2.dat date=2013-02-19
Ir,Co;l12;a;3.53778;0;file=L12/Co3Ir/Co3Ir-L1_2.dat date=2013-02-18
Ir,Co;l12;B;313.44000;0;file=L12/Co3Ir/Co3Ir-L1_2.dat date=2013-02-18
Ir,Co;l12;Eheat;-0.10595;0;file=L12/Co3Ir/Co3Ir-L1_2.dat date=2013-02-18
La,Co;l12;a;3.89700;0;file=L12/Co3La/Co3La-L1_2.dat date=2013-02-19
La,Co;l12;B;117.73000;0;file=L12/Co3La/Co3La-L1_2.dat date=2013-02-19
La,Co;l12;Eheat;0.46799;0;file=L12/Co3La/Co3La-L1_2.dat date=2013-02-19
Mg,Co;l12;a;3.56518;0;file=L12/Co3Mg/Co3Mg-L1_2.dat date=2013-02-18
Mg,Co;l12;B;180.87000;0;file=L12/Co3Mg/Co3Mg-L1_2.dat date=2013-02-18
Mg,Co;l12;Eheat;0.17027;0;file=L12/Co3Mg/Co3Mg-L1_2.dat date=2013-02-18
Ni,Co;l12;a;3.43250;0;file=L12/Co3Ni/Co3Ni-L1_2.dat date=2013-02-18
Ni,Co;l12;B;275.85000;0;file=L12/Co3Ni/Co3Ni-L1_2.dat date=2013-02-18
Ni,Co;l12;Eheat;-0.01058;0;file=L12/Co3Ni/Co3Ni-L1_2.dat date=2013-02-18
Pb,Co;l12;a;3.71850;0;file=L12/Co3Pb/Co3Pb-L1_2.dat date=2013-02-19
Pb,Co;l12;B;198.02000;0;file=L12/Co3Pb/Co3Pb-L1_2.dat date=2013-02-19
Pb,Co;l12;Eheat;0.32275;0;file=L12/Co3Pb/Co3Pb-L1_2.dat date=2013-02-19
Pd,Co;l12;a;3.54857;0;file=L12/Co3Pd/Co3Pd-L1_2.dat date=2013-02-18
Pd,Co;l12;B;260.69000;0;file=L12/Co3Pd/Co3Pd-L1_2.dat date=2013-02-18
Pd,Co;l12;Eheat;0.09220;0;file=L12/Co3Pd/Co3Pd-L1_2.dat date=2013-02-18
Pt,Co;l12;a;3.56252;0;file=L12/Co3Pt/Co3Pt-L1_2.dat date=2013-02-18
Pt,Co;l12;B;285.43000;0;file=L12/Co3Pt/Co3Pt-L1_2.dat date=2013-02-18
Pt,Co;l12;Eheat;-0.07505;0;file=L12/Co3Pt/Co3Pt-L1_2.dat date=2013-02-18
Rh,Co;l12;a;3.52356;0;file=L12/Co3Rh/Co3Rh-L1_2.dat date=2013-02-18
Rh,Co;l12;B;286.75000;0;file=L12/Co3Rh/Co3Rh-L1_2.dat date=2013-02-18
Rh,Co;l12;Eheat;-0.03879;0;file=L12/Co3Rh/Co3Rh-L1_2.dat date=2013-02-18
Ru,Co;l12;a;3.51593;0;file=L12/Co3Ru/Co3Ru-L1_2.dat date=2013-02-18
Ru,Co;l12;B;300.46000;0;file=L12/Co3Ru/Co3Ru-L1_2.dat date=2013-02-18
Ru,Co;l12;Eheat;-0.00429;0;file=L12/Co3Ru/Co3Ru-L1_2.dat date=2013-02-18
Sc,Co;l12;a;3.62532;0;file=L12/Co3Sc/Co3Sc-L1_2.dat date=2013-02-19
Sc,Co;l12;B;188.01000;0;file=L12/Co3Sc/Co3Sc-L1_2.dat date=2013-02-19
Sc,Co;l12;Eheat;-0.19414;0;file=L12/Co3Sc/Co3Sc-L1_2.dat date=2013-02-19
Ti,Co;l12;a;3.53462;0;file=L12/Co3Ti/Co3Ti-L1_2.dat date=2013-02-19
Ti,Co;l12;B;243.48000;0;file=L12/Co3Ti/Co3Ti-L1_2.dat date=2013-02-19
Ti,Co;l12;Eheat;-0.46587;0;file=L12/Co3Ti/Co3Ti-L1_2.dat date=2013-02-19
Y,Co;l12;a;3.76358;0;file=L12/Co3Y/Co3Y-L1_2.dat date=2013-02-19
Y,Co;l12;B;151.26000;0;file=L12/Co3Y/Co3Y-L1_2.dat date=2013-02-19
Y,Co;l12;Eheat;0.08910;0;file=L12/Co3Y/Co3Y-L1_2.dat date=2013-02-19
Zn,Co;l12;a;3.49402;0;file=L12/Co3Zn/Co3Zn-L1_2.dat date=2013-02-19
Zn,Co;l12;B;228.39000;0;file=L12/Co3Zn/Co3Zn-L1_2.dat date=2013-02-19
Zn,Co;l12;Eheat;0.00791;0;file=L12/Co3Zn/Co3Zn-L1_2.dat date=2013-02-19
Zr,Co;l12;a;3.66572;0;file=L12/Co3Zr/Co3Zr-L1_2.dat date=2013-02-17
Zr,Co;l12;B;212.81000;0;file=L12/Co3Zr/Co3Zr-L1_2.dat date=2013-02-17
Zr,Co;l12;Eheat;-0.33510;0;file=L12/Co3Zr/Co3Zr-L1_2.dat date=2013-02-17
Ag,Cu;l12;a;3.71280;0;file=L12/Cu3Ag/Cu3Ag-L1_2.dat date=2013-02-19
Ag,Cu;l12;B;150.79000;0;file=L12/Cu3Ag/Cu3Ag-L1_2.dat date=2013-02-19
Ag,Cu;l12;Eheat;0.02758;0;file=L12/Cu3Ag/Cu3Ag-L1_2.dat date=2013-02-19
Al,Cu;l12;a;3.64488;0;file=L12/Cu3Al/Cu3Al-L1_2.dat date=2013-02-19
Al,Cu;l12;B;150.08000;0;file=L12/Cu3Al/Cu3Al-L1_2.dat date=2013-02-19
Al,Cu;l12;Eheat;-0.23931;0;file=L12/Cu3Al/Cu3Al-L1_2.dat date=2013-02-19
Au,Cu;l12;a;3.72977;0;file=L12/Cu3Au/Cu3Au-L1_2.dat date=2013-02-19
Au,Cu;l12;B;169.79000;0;file=L12/Cu3Au/Cu3Au-L1_2.dat date=2013-02-19
Au,Cu;l12;Eheat;-0.09475;0;file=L12/Cu3Au/Cu3Au-L1_2.dat date=2013-02-19
Ca,Cu;l12;a;3.99101;0;file=L12/Cu3Ca/Cu3Ca-L1_2.dat date=2013-02-19
Ca,Cu;l12;B;74.46000;0;file=L12/Cu3Ca/Cu3Ca-L1_2.dat date=2013-02-19
Ca,Cu;l12;Eheat;0.16475;0;file=L12/Cu3Ca/Cu3Ca-L1_2.dat date=2013-02-19
Cd,Cu;l12;a;3.76986;0;file=L12/Cu3Cd/Cu3Cd-L1_2.dat date=2013-02-19
Cd,Cu;l12;B;131.59000;0;file=L12/Cu3Cd/Cu3Cd-L1_2.dat date=2013-02-19
Cd,Cu;l12;Eheat;0.00439;0;file=L12/Cu3Cd/Cu3Cd-L1_2.dat date=2013-02-19
Co,Cu;l12;a;3.54203;0;file=L12/Cu3Co/Cu3Co-L1_2.dat date=2013-02-18
Co,Cu;l12;B;188.12000;0;file=L12/Cu3Co/Cu3Co-L1_2.dat date=2013-02-18
Co,Cu;l12;Eheat;0.11993;0;file=L12/Cu3Co/Cu3Co-L1_2.dat date=2013-02-18
Hf,Cu;l12;a;3.85617;0;file=L12/Cu3Hf/Cu3Hf-L1_2.dat date=2013-02-19
Hf,Cu;l12;B;143.59000;0;file=L12/Cu3Hf/Cu3Hf-L1_2.dat date=2013-02-19
Hf,Cu;l12;Eheat;0.06126;0;file=L12/Cu3Hf/Cu3Hf-L1_2.dat date=2013-02-19
Ir,Cu;l12;a;3.65273;0;file=L12/Cu3Ir/Cu3Ir-L1_2.dat date=2013-02-19
Ir,Cu;l12;B;215.05000;0;file=L12/Cu3Ir/Cu3Ir-L1_2.dat date=2013-02-19
Ir,Cu;l12;Eheat;0.07165;0;file=L12/Cu3Ir/Cu3Ir-L1_2.dat date=2013-02-19
La,Cu;l12;a;4.21752;0;file=L12/Cu3La/Cu3La-L1_2.dat date=2013-02-19
La,Cu;l12;B;71.91000;0;file=L12/Cu3La/Cu3La-L1_2.dat date=2013-02-19
La,Cu;l12;Eheat;0.27933;0;file=L12/Cu3La/Cu3La-L1_2.dat date=2013-02-19
Mg,Cu;l12;a;3.72364;0;file=L12/Cu3Mg/Cu3Mg-L1_2.dat date=2013-02-19
Mg,Cu;l12;B;112.85000;0;file=L12/Cu3Mg/Cu3Mg-L1_2.dat date=2013-02-19
Mg,Cu;l12;Eheat;-0.07911;0;file=L12/Cu3Mg/Cu3Mg-L1_2.dat date=2013-02-19
Ni,Cu;l12;a;3.54843;0;file=L12/Cu3Ni/Cu3Ni-L1_2.dat date=2013-02-19
Ni,Cu;l12;B;181.85000;0;file=L12/Cu3Ni/Cu3Ni-L1_2.dat date=2013-02-19
Ni,Cu;l12;Eheat;-0.04148;0;file=L12/Cu3Ni/Cu3Ni-L1_2.dat date=2013-02-19
Pb,Cu;l12;a;3.90543;0;file=L12/Cu3Pb/Cu3Pb-L1_2.dat date=2013-02-19
Pb,Cu;l12;B;106.83000;0;file=L12/Cu3Pb/Cu3Pb-L1_2.dat date=2013-02-19
Pb,Cu;l12;Eheat;0.19411;0;file=L12/Cu3Pb/Cu3Pb-L1_2.dat date=2013-02-19
Pd,Cu;l12;a;3.66615;0;file=L12/Cu3Pd/Cu3Pd-L1_2.dat date=2013-02-19
Pd,Cu;l12;B;174.49000;0;file=L12/Cu3Pd/Cu3Pd-L1_2.dat date=2013-02-19
Pd,Cu;l12;Eheat;-0.14720;0;file=L12/Cu3Pd/Cu3Pd-L1_2.dat date=2013-02-19
Pt,Cu;l12;a;3.67860;0;file=L12/Cu3Pt/Cu3Pt-L1_2.dat date=2013-02-19
Pt,Cu;l12;B;194.43000;0;file=L12/Cu3Pt/Cu3Pt-L1_2.dat date=2013-02-19
Pt,Cu;l12;Eheat;-0.18259;0;file=L12/Cu3Pt/Cu3Pt-L1_2.dat date=2013-02-19
Rh,Cu;l12;a;3.64472;0;file=L12/Cu3Rh/Cu3Rh-L1_2.dat date=2013-02-19
Rh,Cu;l12;B;191.40000;0;file=L12/Cu3Rh/Cu3Rh-L1_2.dat date=2013-02-19
Rh,Cu;l12;Eheat;0.00250;0;file=L12/Cu3Rh/Cu3Rh-L1_2.dat date=2013-02-19
Ru,Cu;l12;a;3.64167;0;file=L12/Cu3Ru/Cu3Ru-L1_2.dat date=2013-02-19
Ru,Cu;l12;B;200.95000;0;file=L12/Cu3Ru/Cu3Ru-L1_2.dat date=2013-02-19
Ru,Cu;l12;Eheat;0.25932;0;file=L12/Cu3Ru/Cu3Ru-L1_2.dat date=2013-02-19
Sc,Cu;l12;a;3.83469;0;file=L12/Cu3Sc/Cu3Sc-L1_2.dat date=2013-02-19
Sc,Cu;l12;B;115.98000;0;file=L12/Cu3Sc/Cu3Sc-L1_2.dat date=2013-02-19
Sc,Cu;l12;Eheat;-0.08331;0;file=L12/Cu3Sc/Cu3Sc-L1_2.dat date=2013-02-19
Ti,Cu;l12;a;3.72614;0;file=L12/Cu3Ti/Cu3Ti-L1_2.dat date=2013-02-18
Ti,Cu;l12;B;147.49000;0;file=L12/Cu3Ti/Cu3Ti-L1_2.dat date=2013-02-18
Ti,Cu;l12;Eheat;0.05779;0;file=L12/Cu3Ti/Cu3Ti-L1_2.dat date=2013-02-18
Y,Cu;l12;a;4.01625;0;file=L12/Cu3Y/Cu3Y-L1_2.dat date=2013-02-19
Y,Cu;l12;B;93.84000;0;file=L12/Cu3Y/Cu3Y-L1_2.dat date=2013-02-19
Y,Cu;l12;Eheat;0.03641;0;file=L12/Cu3Y/Cu3Y-L1_2.dat date=2013-02-19
Zn,Cu;l12;a;3.62263;0;file=L12/Cu3Zn/Cu3Zn-L1_2.dat date=2013-02-19
Zn,Cu;l12;B;150.38000;0;file=L12/Cu3Zn/Cu3Zn-L1_2.dat date=2013-02-19
Zn,Cu;l12;Eheat;-0.11768;0;file=L12/Cu3Zn/Cu3Zn-L1_2.dat date=2013-02-19
Zr,Cu;l12;a;3.87885;0;file=L12/Cu3Zr/Cu3Zr-L1_2.dat date=2013-02-17
Zr,Cu;l12;B;133.52000;0;file=L12/Cu3Zr/Cu3Zr-L1_2.dat date=2013-02-17
Zr,Cu;l12;Eheat;0.08084;0;file=L12/Cu3Zr/Cu3Zr-L1_2.dat date=2013-02-17
Ag,Hf;l12;a;4.30918;0;file=L12/Hf3Ag/Hf3Ag-L1_2.dat date=2013-02-19
Ag,Hf;l12;B;118.33000;0;file=L12/Hf3Ag/Hf3Ag-L1_2.dat date=2013-02-19
Ag,Hf;l12;Eheat;0.05866;0;file=L12/Hf3Ag/Hf3Ag-L1_2.dat date=2013-02-19
Al,Hf;l12;a;4.29195;0;file=L12/Hf3Al/Hf3Al-L1_2.dat date=2013-02-19
Al,Hf;l12;B;116.93000;0;file=L12/Hf3Al/Hf3Al-L1_2.dat date=2013-02-19
Al,Hf;l12;Eheat;-0.25516;0;file=L12/Hf3Al/Hf3Al-L1_2.dat date=2013-02-19
Au,Hf;l12;a;4.29411;0;file=L12/Hf3Au/Hf3Au-L1_2.dat date=2013-02-19
Au,Hf;l12;B;135.66000;0;file=L12/Hf3Au/Hf3Au-L1_2.dat date=2013-02-19
Au,Hf;l12;Eheat;-0.23000;0;file=L12/Hf3Au/Hf3Au-L1_2.dat date=2013-02-19
Ca,Hf;l12;a;4.54429;0;file=L12/Hf3Ca/Hf3Ca-L1_2.dat date=2013-02-19
Ca,Hf;l12;B;77.60000;0;file=L12/Hf3Ca/Hf3Ca-L1_2.dat date=2013-02-19
Ca,Hf;l12;Eheat;0.41810;0;file=L12/Hf3Ca/Hf3Ca-L1_2.dat date=2013-02-19
Cd,Hf;l12;a;4.35527;0;file=L12/Hf3Cd/Hf3Cd-L1_2.dat date=2013-02-19
Cd,Hf;l12;B;112.73000;0;file=L12/Hf3Cd/Hf3Cd-L1_2.dat date=2013-02-19
Cd,Hf;l12;Eheat;-0.04412;0;file=L12/Hf3Cd/Hf3Cd-L1_2.dat date=2013-02-19
Co,Hf;l12;a;4.18388;0;file=L12/Hf3Co/Hf3Co-L1_2.dat date=2013-02-19
Co,Hf;l12;B;134.73000;0;file=L12/Hf3Co/Hf3Co-L1_2.dat date=2013-02-19
Co,Hf;l12;Eheat;0.07273;0;file=L12/Hf3Co/Hf3Co-L1_2.dat date=2013-02-19
Cu,Hf;l12;a;4.22039;0;file=L12/Hf3Cu/Hf3Cu-L1_2.dat date=2013-02-19
Cu,Hf;l12;B;117.53000;0;file=L12/Hf3Cu/Hf3Cu-L1_2.dat date=2013-02-19
Cu,Hf;l12;Eheat;0.05912;0;file=L12/Hf3Cu/Hf3Cu-L1_2.dat date=2013-02-19
Ir,Hf;l12;a;4.23491;0;file=L12/Hf3Ir/Hf3Ir-L1_2.dat date=2013-02-19
Ir,Hf;l12;B;160.98000;0;file=L12/Hf3Ir/Hf3Ir-L1_2.dat date=2013-02-19
Ir,Hf;l12;Eheat;-0.29480;0;file=L12/Hf3Ir/Hf3Ir-L1_2.dat date=2013-02-19
La,Hf;l12;a;4.59388;0;file=L12/Hf3La/Hf3La-L1_2.dat date=2013-02-19
La,Hf;l12;B;83.25000;0;file=L12/Hf3La/Hf3La-L1_2.dat date=2013-02-19
La,Hf;l12;Eheat;0.29004;0;file=L12/Hf3La/Hf3La-L1_2.dat date=2013-02-19
Mg,Hf;l12;a;4.38240;0;file=L12/Hf3Mg/Hf3Mg-L1_2.dat date=2013-02-19
Mg,Hf;l12;B;94.69000;0;file=L12/Hf3Mg/Hf3Mg-L1_2.dat date=2013-02-19
Mg,Hf;l12;Eheat;0.08667;0;file=L12/Hf3Mg/Hf3Mg-L1_2.dat date=2013-02-19
Ni,Hf;l12;a;4.19087;0;file=L12/Hf3Ni/Hf3Ni-L1_2.dat date=2013-02-19
Ni,Hf;l12;B;129.38000;0;file=L12/Hf3Ni/Hf3Ni-L1_2.dat date=2013-02-19
Ni,Hf;l12;Eheat;0.00524;0;file=L12/Hf3Ni/Hf3Ni-L1_2.dat date=2013-02-19
Pb,Hf;l12;a;4.41626;0;file=L12/Hf3Pb/Hf3Pb-L1_2.dat date=2013-02-19
Pb,Hf;l12;B;115.19000;0;file=L12/Hf3Pb/Hf3Pb-L1_2.dat date=2013-02-19
Pb,Hf;l12;Eheat;-0.08507;0;file=L12/Hf3Pb/Hf3Pb-L1_2.dat date=2013-02-19
Pd,Hf;l12;a;4.26212;0;file=L12/Hf3Pd/Hf3Pd-L1_2.dat date=2013-02-19
Pd,Hf;l12;B;133.50000;0;file=L12/Hf3Pd/Hf3Pd-L1_2.dat date=2013-02-19
Pd,Hf;l12;Eheat;-0.18605;0;file=L12/Hf3Pd/Hf3Pd-L1_2.dat date=2013-02-19
Pt,Hf;l12;a;4.25209;0;file=L12/Hf3Pt/Hf3Pt-L1_2.dat date=2013-02-19
Pt,Hf;l12;B;149.97000;0;file=L12/Hf3Pt/Hf3Pt-L1_2.dat date=2013-02-19
Pt,Hf;l12;Eheat;-0.41028;0;file=L12/Hf3Pt/Hf3Pt-L1_2.dat date=2013-02-19
Rh,Hf;l12;a;4.24142;0;file=L12/Hf3Rh/Hf3Rh-L1_2.dat date=2013-02-19
Rh,Hf;l12;B;142.52000;0;file=L12/Hf3Rh/Hf3Rh-L1_2.dat date=2013-02-19
Rh,Hf;l12;Eheat;-0.19916;0;file=L12/Hf3Rh/Hf3Rh-L1_2.dat date=2013-02-19
Ru,Hf;l12;a;4.24161;0;file=L12/Hf3Ru/Hf3Ru-L1_2.dat date=2013-02-19
Ru,Hf;l12;B;146.56000;0;file=L12/Hf3Ru/Hf3Ru-L1_2.dat date=2013-02-19
Ru,Hf;l12;Eheat;-0.01603;0;file=L12/Hf3Ru/Hf3Ru-L1_2.dat date=2013-02-19
Sc,Hf;l12;a;4.43364;0;file=L12/Hf3Sc/Hf3Sc-L1_2.dat date=2013-02-19
Sc,Hf;l12;B;93.72000;0;file=L12/Hf3Sc/Hf3Sc-L1_2.dat date=2013-02-19
Sc,Hf;l12;Eheat;0.07201;0;file=L12/Hf3Sc/Hf3Sc-L1_2.dat date=2013-02-19
Ti,Hf;l12;a;4.34480;0;file=L12/Hf3Ti/Hf3Ti-L1_2.dat date=2013-02-18
Ti,Hf;l12;B;110.08000;0;file=L12/Hf3Ti/Hf3Ti-L1_2.dat date=2013-02-18
